URL,ステータス,最終更新日,サイズ
https://www.lpgc.or.jp/index.html,(unchecked),(unchecked),(unchecked)
https://www.microsoft.com/en-us/windows/,(unchecked),(unchecked),(unchecked)
https://www.nta.go.jp/taxes/shiraberu/zeimokubetsu/shohi/keigenzeiritsu/invoice_about.htm,(unchecked),(unchecked),(unchecked)
https://www.purpose.co.jp/news/detail/204,(unchecked),(unchecked),(unchecked)
https://www.rakuten-bank.co.jp/transfer/cvs-payment/,(unchecked),(unchecked),(unchecked)
https://www.rcp-panacea.com/,(unchecked),(unchecked),(unchecked)
https://www.sadogas.co.jp/,(unchecked),(unchecked),(unchecked)
https://www.sg-hoken.co.jp/,(unchecked),(unchecked),(unchecked)
https://www.sg-living.jp/,(unchecked),(unchecked),(unchecked)
https://www.sg-living.jp/reform/,(unchecked),(unchecked),(unchecked)
https://www.sg-ss.jp/,(unchecked),(unchecked),(unchecked)
https://www.shimadagas.co.jp/,(unchecked),(unchecked),(unchecked)
https://www.shimodagas.co.jp/,(unchecked),(unchecked),(unchecked)
https://www.s-pulse.co.jp/,(unchecked),(unchecked),(unchecked)
https://www.town.nagaizumi.lg.jp/soshiki/kurashikankyo/3_1/8926.html,(unchecked),(unchecked),(unchecked)
https://www.town.shimizu.shizuoka.jp/chiiki/chiiki00022.html,(unchecked),(unchecked),(unchecked)
https://www.trunk.services/lp/shizgas,(unchecked),(unchecked),(unchecked)
https://www.uchieco-shindan.jp/,(unchecked),(unchecked),(unchecked)
https://www.yoshidagas.co.jp/,(unchecked),(unchecked),(unchecked)
https://www.youtube.com/channel/UC9OvcXX3r3AL5ak7peENP0A,(unchecked),(unchecked),(unchecked)
https://www.youtube.com/embed/mez3dDUQ9SM,(unchecked),(unchecked),(unchecked)
https://www.youtube.com/watch?v=CCO4Jpt3WJo,(unchecked),(unchecked),(unchecked)
https://www.youtube.com/watch?v=QUYVq33_lEw,(unchecked),(unchecked),(unchecked)
https://www.youtube.com/watch?v=wgxTVMJUAXA,(unchecked),(unchecked),(unchecked)
https://youtu.be/U7fND3S6Y5k?si=8XztuNknI66sDNCG,(unchecked),(unchecked),(unchecked)
https://youtu.be/VkQoTx5VwnY,(unchecked),(unchecked),(unchecked)
tel:0120113531,(unchecked),(unchecked),(unchecked)
tel:0120245004,(unchecked),(unchecked),(unchecked)
tel:0120985232,(unchecked),(unchecked),(unchecked)
tel:0120995007,(unchecked),(unchecked),(unchecked)
tel:054-203-7230,(unchecked),(unchecked),(unchecked)
tel:0542844371,(unchecked),(unchecked),(unchecked)
tel:054-284-4371,(unchecked),(unchecked),(unchecked)
tel:054-284-7986,(unchecked),(unchecked),(unchecked)
tel:0542850267,(unchecked),(unchecked),(unchecked)
tel:0542852111,(unchecked),(unchecked),(unchecked)
tel:054-285-2115,(unchecked),(unchecked),(unchecked)
tel:0542852138,(unchecked),(unchecked),(unchecked)
tel:054-285-2171,(unchecked),(unchecked),(unchecked)
tel:0543401231,(unchecked),(unchecked),(unchecked)
tel:0545519244,(unchecked),(unchecked),(unchecked)
tel:0545522260,(unchecked),(unchecked),(unchecked)
tel:0545577500,(unchecked),(unchecked),(unchecked)
tel:0545678200,(unchecked),(unchecked),(unchecked)
tel:0559272273,(unchecked),(unchecked),(unchecked)
tel:0559272811,(unchecked),(unchecked),(unchecked)
tel:0559915010,(unchecked),(unchecked),(unchecked)
tel:0570020160,(unchecked),(unchecked),(unchecked)
tel:0570020161,(unchecked),(unchecked),(unchecked)
tel:0570-020-161,(unchecked),(unchecked),(unchecked)
tel:0570099189,(unchecked),(unchecked),(unchecked)
